country,国家,地理,收入,OECD会员,巴塞尔会员,货币政策目标,央行是否有金融稳定导向,央行是否是审慎机构,央行是否担任金融稳定委员会主席,治理框架类型,绿色宏观审慎监管类型,绿色宏观审慎监管指数GMI,是否是NGFS成员,NGFS成员,监管实施方,绿色审慎工具,绿色审慎工具指数,差别化准备金要求,贷款限额,披露要求,风险评估,流动性工具,绿色金融原则,压力测试,Content & Objective/s of the green regulation,增补，截至20210907,调整后,Reference,Source
Argentina,阿根廷,美洲,高收入,no,yes,2,yes,yes,NA,0,under discussion,0,no,no,"?阿根廷财政部
?阿根廷国家证券委员会","?环境风险计量与披露
?绿色、社会和可持续债券指南",2,,,是,,,,,###############################################################################################################################################################################################################################################################,"紧急气候行动：面对政府间气候变化专门委员会(IPCC)于2021年8月9日发布的最新报告提出的科学证据，根据《巴黎协定》，提高气候议程的政治相关性势在必行。
会议将分为三个部分，包括高级别辩论、技术讨论和部长级圆桌会议。(https://www.argentina.gob.ar/ambiente/americas-climate-ambition)",2,Green shoots emerging: discussing bankability and sustainability in Argentina’s infrastructure,https://goo.gl/nEJKQs
Australia,澳大利亚,亚太,高收入,yes,yes,1,yes,no,yes,1,under discussion,0,yes,yes，为澳大利亚审慎监管局，澳大利亚储备银行,"澳大利亚审慎监管局
（澳大利亚审慎监管局 (APRA) 是一个独立的法定机构，负责监管银行、保险和养老金机构，并促进澳大利亚金融体系的稳定。）",调整审慎和环境目标,4,,,,,,是,是,"澳大利亚审慎监管局（APRA）表示，它认为气候变化是一种""实质性""的物理和过渡风险，在监测银行、保险公司和资产管理公司时，将更密切地考虑气候变化。",###############################################################################################################################################################################################################################################################,10（增加压力测试）,Australia's new horizon: Climate change challenges and prudential risk,https://goo.gl/n9gx6H
Austria,奥地利,欧洲,高收入,yes,yes,1,yes,no,no (Ministry of Finance),1,under discussion,0,yes,yes，为奥地利国家银行，奥地利金融市场管理局, 奥斯特雷希什国家银行 (OeNB)，即中央银行,调整审慎和环境目标,4,,,,,,是,,"奥斯特雷希什国家银行成为金融系统绿化网络（NGFS） 的成员，
2017年12月12日在巴黎同一星球首脑会议上发起，旨在为分析和管理金融部门的气候和环境相关风险作出贡献，并动员主流金融支持向可持续经济过渡。","实现气候目标的“绿色金融议程”，“绿色金融议程”包含为实现气候目标而重新引导资金流动的拟议措施和行动建议。随着“绿色金融议程”的制定，奥地利支持确保可持续增长的目标。
欧盟“绿色新政”投资计划出台（https://www.bundeskanzleramt.gv.at/themen/europa-aktuell/investitionsplan-fuer-den-green-deal-der-eu-vorgestellt.html）",4,"NGFS First Progress Report, October 2018",https://www.banque-france.fr/sites/default/files/media/2018/10/11/818366-ngfs-first-progress-report-20181011.pdf
Bangladesh,孟加拉国,亚太,中低收入,no,no,2,yes,yes,NA,0,mandatory,2,no,no,孟加拉国国家银行，即中央银行,"?绿色融资贷款要求
?绿色金融原则",1,,是,,,,是,,孟加拉国银行对乡镇企业和绿色金融提出了优先贷款要求。自 2015 年以来，至少 5% 的银行贷款组合必须分配给绿色金融（至少 2.5% 分配给农业部门）。贷款要求与资本调整和优惠再融资机会有关。 孟加拉国银行发布了关于孟加拉国银行和机构ESRM的最新准则，以及环境和社会风险评估工具和SFD。,未找到官网,1,"Circular No. 02/2017 on February 8, 2017",https://goo.gl/um3CpT
Belgium,比利时,欧洲,高收入,yes,yes,2,yes,yes,NA,0,under discussion,0,yes,yes，为比利时国家银行,比利时国家银行 NBB，即中央银行,调整审慎和环境目标,4,,,,,,是,,比利时国家银行（NBB）成为金融系统绿化网络（NGFS）的成员，2017年12月12日在巴黎一行星峰会上启动。  NBB 认识到与气候变化相关的金融稳定风险，并认识到有必要修订非财务信息指南，并将其与 FSB 气候相关财务披露特别工作组的建议保持一致。,无,4,"Financial Stability Report, 2018",https://www.nbb.be/doc/ts/publications/fsr/fsr_2018.pdf
Brazil,巴西,美洲,中高收入,no,yes,1,no,yes,yes (de facto changing the chair between  members every 6-months),1,mandatory,3,yes,yes，为巴西中央银行,巴西中央银行,"?部门信贷政策
?自愿环境和社会（E&S）风险管理
?披露要求",7,,是,是,,,,,###############################################################################################################################################################################################################################################################,2021-04，BC 就国家金融系统 (SFN) 披露社会、环境和气候风险相关信息的规范性提案进行了公众咨询（https://www.bcb.gov.br/detalhenoticia/17380/nota）,7,Circular No.  4327                                          Protocolo Verde,"https://goo.gl/Z3rhn5 
https://goo.gl/npy67z"
Cambodia,柬埔寨,亚太,中低收入,no,no,1,no,no,NA,2,voluntary,1,yes,yes，为柬埔寨国家银行,"?柬埔寨国家银行（National Bank of Cambodia，NBC），即中央银行
?银行协会",自愿环境和社会贷款准则,4,,,,,,是,,2016年9月，柬埔寨发起了柬埔寨可持续金融倡议，旨在建立最佳做法，并教育其成员了解可持续银行做法。柬埔寨银行协会承诺与柬埔寨国家银行和环境部合作，制定一套可持续的金融原则。这些原则导致设计自愿的行业环境和社会贷款标准，这些标准已纳入当地银行政策。,柬埔寨银行协会可持续性金融委员会秘书长及柬埔寨外贸银行首席执行官迪思・索查表示，过去几年，来自中国的大量投资，帮助柬埔寨实现了市场和经济的发展。目前，柬埔寨正在关注经济转型，发展绿色经济。（https://baijiahao.baidu.com/s?id=1684239258279057799&wfr=spider&for=pc）,4,Cambodian Sustainable Finance Initiative,https://goo.gl/Ep9xWP
Canada,加拿大,美洲,高收入,yes,yes,4,no,no,no (Ministry of Finance),2,under discussion,0,yes,yes，为加拿大银行,加拿大银行，即中央银行,披露与气候相关的风险,2,,,是,,,是,是,"加拿大养老金监督当局协会于2017年2月修订了指导意见，将ESG问题列为养老金受托人评估的典型风险。蒂莫西・莱恩的讲话，
加拿大银行金融和可持续发展倡议副行长（2017年3月2日，魁北克省蒙特利尔市），强调了协调金融稳定和可持续发展目标的重要性。 他提到，加拿大银行是绿色金融研究小组的积极成员，并正在就治理结构中采用可持续性目标进行富有成效的讨论。 ",###############################################################################################################################################################################################################################################################,10（增加绿色金融原则、压力测试）,Thermometer Rising―Climate Change and Canada’s Economic Future,"https://goo.gl/6PJ1Tm
https://goo.gl/LphVw4"
Chile,智利,美洲,高收入,yes,observer,2,yes,no,no (Ministry of Finance),1,under discussion,0,yes,yes，为智利中央银行，智利金融市场委员会,银行及金融机构监管局 （SBIF） ,调整审慎和环境目标,4,,,,,,是,,"银行及金融机构监管局 （SBIF） 于 2016 年 10 月加入可持续银行网络 （SBN）。  圣地亚哥证券交易所于2018年4月发布绿色债券指引。
",未找到官网,4,"Sustainable Banking Network (SBN)
Briefing (June 2018)",https://www.ifc.org/wps/wcm/connect/eb306224-9558-43bc-9f48-731dccb23b5f/SBN+Brief_+June+2018.pdf?MOD=AJPERES
China,中国,亚太,中高收入,no,yes,4,yes,no,yes,1,mandatory,2,yes,yes，为中国人民银行,"?中国人民银行，即中央银行
?中国银监会","环境压力测试
 ・银行信贷限额",9,,是,,,,是,是,2014年，中国人民银行（PoC）出台了绿色信贷监测评估机制和关键绩效指标检查表，以补充绿色信贷准则。 2015年，中国金融监管委员会还出台了绿色金融债券规则。在绿色贷款发放方面，银监会于2014年启动了绿色信贷统计系统。绿色信贷分为12大类，分类别。还为银行开发了一种工具，用于计算绿色信贷带来的环境效益，包括减少碳排放、水污染（化学需氧量）和节约用水。,人民银行《关于修订绿色贷款专项统计制度的通知》和银保监会《绿色融资统计制度》,10,"China Green Credit Guidelines
CBRC Green Credit Statistics
CBRC Green Credit Key Performance Indicators",https://goo.gl/xWJ5Ps
Colombia,哥伦比亚,美洲,中高收入,no,no,1,no,yes,no  (Ministry of Finance),2,voluntary,1,yes,yes，为哥伦比亚中央银行，哥伦比亚金融监管局,哥伦比亚银行协会,"?披露要求
信用风险管理的环境风险评估",6,,,是,是,,,,《哥伦比亚绿色议定书》于2012年启动，是阿索班卡里亚银行协会与环境和可持续发展部共同制定的一套自愿准则。哥伦比亚总统阿索班卡里亚和包括主要商业和发展银行在内的12家银行签署了《绿色议定书》。,无,6,Green Protocol ,https://goo.gl/iEk972
Czech Republic,捷克共和国,欧洲,高收入,yes,yes,2,yes,yes,NA,0,under discussion,0,no,no,捷克国家银行，即中央银行,调整审慎和环境目标,4,,,,,,是,,"CNB可以支持扩大（全球）金融机构的现有良好经验，以可持续投资和采用ESG因素进行这种""自愿""形式的投资。但是，CNB
还认为，今后不应在这方面支持政治家或监管机构直接或间接干预金融机构行为，以削弱自由市场原则来促进政策目标的步骤。",无,4,The CNB’s general position on sustainable investment and its regulation,https://www.cnb.cz/miranda2/export/sites/www.cnb.cz/en/supervision_financial_market/legislation/cnb_opinions/download/20170713_sustainable_finance_report_cnb_opinion.pdf
Denmark,丹麦,欧洲,高收入,yes,no,2,yes,no,yes,1,under discussion,0,yes,yes，为丹麦国家银行，丹麦金融监管局,"? 丹麦国家银行，即中央银行
?政府","・关于透明度和风险披露协议的讨论
・将气候风险纳入金融风险议程",7,,是,是,,,是,是,丹麦国家可持续发展战略（Et béredygtigt Danmark - Udvikling i 平衡）于2014年10月发布，以可持续发展的三大支柱为基础：（1） 金融可持续性，（2） 社会可持续性，（3） 绿色可持续性。 该战略在可持续性的三大支柱中总共提出了23个目标，并增加了关于可持续性国际层面的目标。,###############################################################################################################################################################################################################################################################,10（增加压力测试、绿色金融原则）,Danish strategy for sustainable development,https://goo.gl/vmJiYf
Ecuador,厄瓜多尔,美洲,中高收入,no,no,3,no,no ,no (银行监管方为审慎机构),2,voluntary,1,no,no,银行业协会,"?披露要求
信用风险管理的环境风险评估",7,,是,是,,,,,厄瓜多尔银行协会Asobancos于2016年11月启动了《可持续银行议定书》，10家签署银行占市场份额的80%以上，并得到国际金融公司/SBN的参与和支持。签署银行自愿致力于建立可持续性治理、提供绿色金融服务和产品、实施生态效率方案以及建立环境和社会风险管理系统。,未找到官网,7,Sustainable Banking Protocol ,https://goo.gl/PAkkNA
Estonia,爱沙尼亚,欧洲,高收入,yes,yes,1,yes,yes,no (Ministry of Finance),1,-,-,yes,yes，为爱沙尼亚银行,-,-,-,,,,,,是,,-,加入NGFS成员,4（增加绿色金融原则）,-,-
Finland,芬兰,欧洲,高收入,yes,yes,2,yes,no,yes (rotating between members every 3 years),1,under discussion,0,yes,yes，为芬兰银行,"?芬兰银行，即中央银行
 ? 金融监管局",,-,,,,是,,,,芬兰银行成为金融系统绿化网络（NGFS）的成员，2018年6月，巴黎同一星球峰会启动，旨在为金融部门气候和环境相关风险的分析和管理做出贡献，并动员主流金融支持向可持续经济过渡。,###############################################################################################################################################################################################################################################################,3（增加风险评估）,,https://www.ver.fi/en-US/VER_as_an_Investor/Responsible_Investing
France,法国,欧洲,高收入,yes,yes,2,yes,no,yes,1,voluntary,1,yes,yes，为法国银行,"?法国银行，即中央银行
?法国银行联合会","?披露过度杠杆风险的要点
?压力测试",8,,,是,是,,是,是,法国制定了法国法律所附的气候风险报告的具体要求（关于能源过渡和绿色增长的法律第173条）。后者特别要求公司报告与气候变化有关的金融风险，并要求资产管理公司和机构投资者报告其投资战略中如何考虑ESG标准。银行和信贷提供者应在其年度报告中披露过度杠杆的风险（非碳特异性）和定期压力测试所暴露的风险。机构投资者应在年度报告中披露：关于ESG标准如何在其投资决策中考虑的信息，其政策如何与国家能源和生态转型战略保持一致的信息。,###############################################################################################################################################################################################################################################################,8,Article 173 of the law on energy transition and green growth,https://goo.gl/BY6pNs
Germany,德国,欧洲,高收入,yes,yes,2,yes,yes,no (Ministry of Finance),1,under discussion,0,yes,yes，为德意志联邦银行,"?德意志交易所
?德意志联邦银行，即中央银行",金融的可持续性原则,4,,,是,,,是,是,德国积极参与绿色债券市场： 然而，绿色金融监管和可持续金融准则却缺失。德意志交易所宣布将于2017年5月启动可持续金融倡议。 同时，（一） 柏林联邦州推出了可持续性指数，以重新分配截至2017年的养老基金投资;（二） 联邦黑森州已宣布打算使法兰克福市成为绿色金融中心。 此外，联邦财政部发布了一份（受委托的）研究报告，研究气候变化对金融市场稳定的潜在影响。,###############################################################################################################################################################################################################################################################,4+披露要求,Deutsche B?rse to launch sustainable finance initiative,https://goo.gl/69vgCx
Ghana,加纳,非洲,中低收入,no,no,1,no,no,NA,2,under discussion,0,no,no,加纳银行，即中央银行,仍要启动 E&S 风险管理 （ESRM） 计划并确认加纳可持续银行原则,4,,,,,,是,,2018年3月，加纳银行（BOG）和可持续银行委员会在国际金融公司非洲E&S风险管理（ESRM）方案的支持下，为起草的加纳可持续银行原则召开了利益攸关方讲习班。可持续银行网络秘书处根据2018年2月推出的SBN全球进展指标提供反馈。2015年12月，BOG成立了加纳可持续银行委员会，其任务是为银行业制定可持续融资原则。2017年底，可持续银行委员会起草了加纳可持续银行原则初稿。下一步包括根据利益攸关方的反馈最后确定《原则》，以及随后银行业正式通过《原则》。,"2020-09，西非气候智能型农业倡议
为应对气候变化对西非农业生产力的影响，特别是对小生产者的影响，西非国家经济共同体 (ECOWAS) 制定了一个纳入区域农业和粮食基金 (RFAF) 的财务机制，称为“西非气候智能型农业倡议 (WAICSA})。（https://www.bog.gov.gh/news/request-for-expression-of-interest-west-african-initiative-for-climate-smart-agriculture/）",,"BoG, IFC signs ESRM guidelines monitoring and implementation agreement",https://goo.gl/FVp6g1
Hungary,匈牙利,欧洲,高收入,yes,yes,4,yes,yes,NA,0,-,-,yes,yes，为匈牙利中央银行,-,-,-,,,,是,,是,,-,###############################################################################################################################################################################################################################################################,,-,-
Iceland,冰岛,欧洲,高收入,yes,yes,2,yes,no,no (Ministry of Finance),1,-,-,yes,yes，为冰岛中央银行,-,-,-,,,,,,是,,-,冰岛银行为NGFS成员。,,-,-
India,印度,亚太,中低收入,no,yes,2,yes,yes,no (Ministry of Finance),1,mandatory,2,yes,yes，为印度储备银行,"?印度储备银行，即中央银行
?印度证券交易委员会","?最低信用额度
?补贴流动资金投资环保项目
?披露要求",5,,是,是,,是,,,2015 年 4 月，印度储备银行发布了《优先部门贷款 - 目标和分类》通知，明确针对可再生能源和农业。 后者为银行提供额外的和补贴的流动性，用于向环保项目提供贷款，并规定最低信用额度。此外，在同一2015年，印度证券交易委员会（SEBI）要求对绿色债券的发行和上市提供详细的信息披露要求。,未找到官网,,Circular of Priority Sector Lending C Targets and Classification - RBI/2014-15/573,https://goo.gl/JwRaCL
Indonesia,印度尼西亚,亚太,中低收入,no,yes,1,no,no,no (Ministry of Finance),2,mandatory,2,yes,yes，为印度尼西亚银行,?印度尼西亚金融服务管理局,"最低信用额度和最高信用额度
披露标准",6,,,是,是,,是,,###############################################################################################################################################################################################################################################################,无,,Sustainable Finance Umbrella Policy,https://goo.gl/w1Yn58
Ireland,爱尔兰,欧洲,高收入,yes,yes,2,yes,yes,yes,1,under discussion,0,yes,yes，为爱尔兰中央银行,爱尔兰中央银行，即中央银行,披露标准,2,,,是,是,,是,,如果冰岛支持欧盟委员会公布的2018年可持续金融行动计划，则中央银行将采取进一步措施，帮助公共和私人资本流向可持续投资。爱尔兰银行与金融稳定委员会（FSB）是气候相关财务披露工作组（TCFD）的一部分，该工作组于2017年6月发布了最后一套建议。,###############################################################################################################################################################################################################################################################,,The Central Bank and Sustainability,https://www.centralbank.ie/news/article/central-bank-and-sustainability-philip-lane-governor-central-bank-ireland
Israel,以色列,中东中亚,高收入,yes,yes,2,yes,yes,NA,0,-,-,yes,yes，为以色列银行,-,-,-,,,,,,是,,-,以色列银行为NGFS成员。,,-,-
Italy,意大利,欧洲,高收入,yes,yes,2,yes,yes,no (Ministry of Finance),1,under discussion,0,yes,yes，为意大利银行,"?意大利银行，即中央银行
?财政部","?气候变化对金融体系构成的风险分析
（需要新的金融监管工具和指导方针",4,,,,是,,是,,意大利于2016年2月启动了可持续金融全国对话，以评估现有做法，确定关键挑战，并提出政策选择，以扩大有希望的发展。它由环境部与其他部委和公共当局共同发起，包括一系列工作组，由金融部门和研究界的领导人组成。对话是与联合国环境规划署合作召开的，它带来了国际经验。必须强调，金融业对绿色经济风险和机遇的认识更高：以及需要制定新的银行监管规则，以加强环境风险分析。,2019-07，Fiorella Salvucci 和 Fabio Verachi，“将 ESG 和气候变化风险整合到风险评估和管理系统中。（https://www.bancaditalia.it/media/notizia/ignazio-visco-su-climate-finance-how-far-will-central-bankers-go-al-climate-capital-live-del-financial-times/）,,Report of the Italian National Dialogue on Sustainable Finance,https://goo.gl/iBAJ6o
